TRACE_BADAJOZ_PENR2009_V001
RASTER=/nuevos/FUGAWI/MAPAS/BADAJOZ 2_4.jpeg
RASTER_W=1536
RASTER_H=1170
PIXEL_DOMAIN=PIXEL_RASTER_ORIGINAL
CRS_ORIGEN=ED50_UTM_HUSO_29_30
CRS_DESTINO=ETRS89_UTM_HUSO_29_30
PENR2009_PATH=Repositorio:p92md87/Fugawi/PENR2009.gsb
PENR2009_BLOB_SHA=4bdfa4ddef1adc4a32f7daf0956fe65b91d4aafa
NODOS=126
CUADRILATEROS=104
CIERRE_INV_MAX_M=0.000000000
ID,E_ED50,N_ED50,HUSO,LAT_ED50,LON_ED50,LAT_ETRS89,LON_ETRS89,E_ETRS89,N_ETRS89,DLAT_ARCSEC,DLON_ARCSEC,CIERRE_INV_M
B06C13,368146.562,4320000.000,30,39.018447724645,-4.522991503196,39.017224969491,-4.524309612209,368036.103,4319793.323,-4.401918555,4.745192448,0.000000000
B07C00,657475.590,4300000.000,29,38.834075769069,-7.185778909904,38.832833694242,-7.187139569879,657353.141,4299787.468,-4.471469379,4.898375909,0.000000000
B07C01,660000.000,4300000.000,29,38.833620548079,-7.156709961574,38.832378764767,-7.158070211472,659877.515,4299787.462,-4.470419922,4.896899632,0.000000000
B07C02,680000.000,4300000.000,29,38.829758530393,-6.926431305884,38.828519081035,-6.927790918666,679877.004,4299787.413,-4.462017690,4.894606014,0.000000000
B07C03,700000.000,4300000.000,29,38.825443037173,-6.696199407830,38.824204442207,-6.697553991341,699876.876,4299787.208,-4.458941877,4.876500641,0.000000000
B07C04,720000.000,4300000.000,29,38.820674361182,-6.466019439373,38.819437486992,-6.467370350149,719876.625,4299787.097,-4.452747083,4.863278792,0.000000000
B07C05,740000.000,4300000.000,29,38.815452825788,-6.235896565124,38.814216906727,-6.237244622572,739876.304,4299786.899,-4.449308621,4.853006815,0.000000000
B07C06,760507.414,4300000.000,29,38.809628948068,-6.000000000000,38.808394274231,-6.001344030138,760383.482,4299786.728,-4.444825814,4.838508496,0.000000000
B07C07,260000.000,4300000.000,30,38.815452825788,-5.764103434876,38.814219706371,-5.765443619884,259890.259,4299794.274,-4.439229901,4.824666030,0.000000000
B07C08,280000.000,4300000.000,30,38.820674361182,-5.533980560627,38.819443072383,-5.535317175195,279890.035,4299794.191,-4.432639676,4.811812447,0.000000000
B07C09,300000.000,4300000.000,30,38.825443037173,-5.303800592170,38.824212738951,-5.305133495016,299889.818,4299794.014,-4.429073598,4.798450247,0.000000000
B07C10,320000.000,4300000.000,30,38.829758530393,-5.073568694116,38.828529229568,-5.074894349350,319889.906,4299793.831,-4.425482969,4.772358841,0.000000000
B07C11,340000.000,4300000.000,30,38.833620548079,-4.843290038426,38.832392264395,-4.844609421618,339889.908,4299793.654,-4.421821264,4.749779490,0.000000000
B07C12,360000.000,4300000.000,30,38.837028828132,-4.612969803679,38.835800871980,-4.614287125218,359889.542,4299793.408,-4.420642146,4.742357539,0.000000000
B07C13,367646.736,4300000.000,30,38.838211985186,-4.524900000540,38.836984606588,-4.526215971833,367536.187,4299793.363,-4.418562954,4.737496657,0.000000000
B08C00,657914.571,4280870.285,29,38.661696621954,-7.185092721416,38.660452551626,-7.186449723427,657792.138,4280658.071,-4.478653182,4.885207238,0.000000000
B08C01,660000.000,4280942.816,29,38.661975624585,-7.161119627869,38.660731740707,-7.162476474257,659877.522,4280730.588,-4.477981961,4.884646996,0.000000000
